We're on a base owned by null and we are [Team | color = JAZZBERRY, score = 0]
We're on a base owned by [Team | color = JAZZBERRY, score = 0] and we are [Team | color = JAZZBERRY, score = 1]
We're on a base owned by null and we are [Team | color = JAZZBERRY, score = 3]
We're on a base owned by [Team | color = JAZZBERRY, score = 0] and we are [Team | color = JAZZBERRY, score = 6]
We're on a base owned by [Team | color = JAZZBERRY, score = 3] and we are [Team | color = JAZZBERRY, score = 14]
We're on a base owned by null and we are [Team | color = JAZZBERRY, score = 22]
We're on a base owned by [Team | color = JAZZBERRY, score = 22] and we are [Team | color = JAZZBERRY, score = 33]
We're on a base owned by [Team | color = JAZZBERRY, score = 22] and we are [Team | color = JAZZBERRY, score = 39]
We're on a base owned by [Team | color = LOCHMARA, score = 0] and we are [Team | color = JAZZBERRY, score = 51]
We're on a base owned by null and we are [Team | color = JAZZBERRY, score = 62]
We're on a base owned by [Team | color = JAZZBERRY, score = 51] and we are [Team | color = JAZZBERRY, score = 69]
We're on a base owned by [Team | color = LOCHMARA, score = 88] and we are [Team | color = JAZZBERRY, score = 77]
We're on a base owned by [Team | color = JAZZBERRY, score = 62] and we are [Team | color = JAZZBERRY, score = 86]
We're on a base owned by [Team | color = JAZZBERRY, score = 77] and we are [Team | color = JAZZBERRY, score = 96]
We're on a base owned by [Team | color = JAZZBERRY, score = 77] and we are [Team | color = JAZZBERRY, score = 106]
We're on a base owned by null and we are [Team | color = JAZZBERRY, score = 156]
We're on a base owned by [Team | color = LOCHMARA, score = 17] and we are [Team | color = JAZZBERRY, score = 165]
We're on a base owned by [Team | color = JAZZBERRY, score = 156] and we are [Team | color = JAZZBERRY, score = 176]
We're on a base owned by [Team | color = JAZZBERRY, score = 156] and we are [Team | color = JAZZBERRY, score = 188]
We're on a base owned by [Team | color = JAZZBERRY, score = 165] and we are [Team | color = JAZZBERRY, score = 200]
We're on a base owned by [Team | color = LOCHMARA, score = 123] and we are [Team | color = JAZZBERRY, score = 212]
We're on a base owned by [Team | color = JAZZBERRY, score = 212] and we are [Team | color = JAZZBERRY, score = 239]
We're on a base owned by [Team | color = JAZZBERRY, score = 212] and we are [Team | color = JAZZBERRY, score = 253]
We're on a base owned by [Team | color = JAZZBERRY, score = 212] and we are [Team | color = JAZZBERRY, score = 281]
We're on a base owned by [Team | color = JAZZBERRY, score = 212] and we are [Team | color = JAZZBERRY, score = 295]
We're on a base owned by [Team | color = JAZZBERRY, score = 212] and we are [Team | color = JAZZBERRY, score = 323]
We're on a base owned by [Team | color = JAZZBERRY, score = 212] and we are [Team | color = JAZZBERRY, score = 337]
We're on a base owned by [Team | color = JAZZBERRY, score = 212] and we are [Team | color = JAZZBERRY, score = 365]
We're on a base owned by [Team | color = JAZZBERRY, score = 212] and we are [Team | color = JAZZBERRY, score = 379]
We're on a base owned by [Team | color = JAZZBERRY, score = 212] and we are [Team | color = JAZZBERRY, score = 407]
We're on a base owned by [Team | color = JAZZBERRY, score = 212] and we are [Team | color = JAZZBERRY, score = 421]
We're on a base owned by [Team | color = JAZZBERRY, score = 212] and we are [Team | color = JAZZBERRY, score = 449]
We're on a base owned by [Team | color = JAZZBERRY, score = 212] and we are [Team | color = JAZZBERRY, score = 463]
We're on a base owned by [Team | color = JAZZBERRY, score = 212] and we are [Team | color = JAZZBERRY, score = 491]
We're on a base owned by [Team | color = JAZZBERRY, score = 212] and we are [Team | color = JAZZBERRY, score = 505]
We're on a base owned by [Team | color = JAZZBERRY, score = 212] and we are [Team | color = JAZZBERRY, score = 533]
We're on a base owned by [Team | color = JAZZBERRY, score = 212] and we are [Team | color = JAZZBERRY, score = 547]
We're on a base owned by [Team | color = JAZZBERRY, score = 212] and we are [Team | color = JAZZBERRY, score = 575]
We're on a base owned by [Team | color = JAZZBERRY, score = 212] and we are [Team | color = JAZZBERRY, score = 589]
We're on a base owned by [Team | color = JAZZBERRY, score = 212] and we are [Team | color = JAZZBERRY, score = 617]
We're on a base owned by null and we are [Team | color = JAZZBERRY, score = 657]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 684]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 698]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 726]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 740]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 768]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 782]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 810]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 824]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 852]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 866]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 894]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 908]
We're on a base owned by [Team | color = JAZZBERRY, score = 657] and we are [Team | color = JAZZBERRY, score = 936]
